Time,weather channel
2022-01-01,21
2022-01-02,23
2022-01-03,26
2022-01-04,22
2022-01-05,29
2022-01-06,34
2022-01-07,23
2022-01-08,14
2022-01-09,15
2022-01-10,14
2022-01-11,16
2022-01-12,23
2022-01-13,37
2022-01-14,34
2022-01-15,40
2022-01-16,48
2022-01-17,25
2022-01-18,19
2022-01-19,29
2022-01-20,34
2022-01-21,22
2022-01-22,15
2022-01-23,14
2022-01-24,20
2022-01-25,17
2022-01-26,26
2022-01-27,34
2022-01-28,48
2022-01-29,38
2022-01-30,20
2022-01-31,35
2022-02-01,46
2022-02-02,57
2022-02-03,55
2022-02-04,33
2022-02-05,13
2022-02-06,11
2022-02-07,15
2022-02-08,11
2022-02-09,11
2022-02-10,11
2022-02-11,13
2022-02-12,13
2022-02-13,13
2022-02-14,13
2022-02-15,14
2022-02-16,19
2022-02-17,30
2022-02-18,16
2022-02-19,13
2022-02-20,12
2022-02-21,21
2022-02-22,28
2022-02-23,30
2022-02-24,29
2022-02-25,17
2022-02-26,9
2022-02-27,9
2022-02-28,12
2022-03-01,10
2022-03-02,11
2022-03-03,12
2022-03-04,12
2022-03-05,13
2022-03-06,15
2022-03-07,19
2022-03-08,18
2022-03-09,20
2022-03-10,20
2022-03-11,25
2022-03-12,20
2022-03-13,11
2022-03-14,11
2022-03-15,14
2022-03-16,14
2022-03-17,14
2022-03-18,18
2022-03-19,13
2022-03-20,10
2022-03-21,20
2022-03-22,24
2022-03-23,20
2022-03-24,14
2022-03-25,13
2022-03-26,10
2022-03-27,10
2022-03-28,13
2022-03-29,14
2022-03-30,26
2022-03-31,27
2022-04-01,13
2022-04-02,12
2022-04-03,11
2022-04-04,15
2022-04-05,24
2022-04-06,19
2022-04-07,18
2022-04-08,14
2022-04-09,11
2022-04-10,11
2022-04-11,19
2022-04-12,24
2022-04-13,33
2022-04-14,20
2022-04-15,13
2022-04-16,13
2022-04-17,12
2022-04-18,18
2022-04-19,13
2022-04-20,12
2022-04-21,13
2022-04-22,13
2022-04-23,11
2022-04-24,13
2022-04-25,16
2022-04-26,13
2022-04-27,10
2022-04-28,13
2022-04-29,13
2022-04-30,14
2022-05-01,14
2022-05-02,16
2022-05-03,17
2022-05-04,16
2022-05-05,20
2022-05-06,21
2022-05-07,13
2022-05-08,10
2022-05-09,11
2022-05-10,12
2022-05-11,13
2022-05-12,16
2022-05-13,17
2022-05-14,15
2022-05-15,15
2022-05-16,25
2022-05-17,13
2022-05-18,15
2022-05-19,18
2022-05-20,21
2022-05-21,20
2022-05-22,18
2022-05-23,18
2022-05-24,19
2022-05-25,18
2022-05-26,20
2022-05-27,20
2022-05-28,14
2022-05-29,11
2022-05-30,12
2022-05-31,16
2022-06-01,19
2022-06-02,21
2022-06-03,18
2022-06-04,15
2022-06-05,11
2022-06-06,16
2022-06-07,16
2022-06-08,20
2022-06-09,16
2022-06-10,15
2022-06-11,15
2022-06-12,15
2022-06-13,19
2022-06-14,18
2022-06-15,17
2022-06-16,21
2022-06-17,16
2022-06-18,11
2022-06-19,10
2022-06-20,12
2022-06-21,13
2022-06-22,17
2022-06-23,14
2022-06-24,13
2022-06-25,14
2022-06-26,16
2022-06-27,17
2022-06-28,13
2022-06-29,14
2022-06-30,15
2022-07-01,18
2022-07-02,18
2022-07-03,14
2022-07-04,14
2022-07-05,18
2022-07-06,17
2022-07-07,14
2022-07-08,15
2022-07-09,13
2022-07-10,11
2022-07-11,13
2022-07-12,16
2022-07-13,14
2022-07-14,14
2022-07-15,15
2022-07-16,14
2022-07-17,14
2022-07-18,17
2022-07-19,14
2022-07-20,15
2022-07-21,17
2022-07-22,13
2022-07-23,18
2022-07-24,17
2022-07-25,19
2022-07-26,15
2022-07-27,15
2022-07-28,16
2022-07-29,15
2022-07-30,11
2022-07-31,13
2022-08-01,16
2022-08-02,14
2022-08-03,16
2022-08-04,17
2022-08-05,16
2022-08-06,16
2022-08-07,15
2022-08-08,16
2022-08-09,16
2022-08-10,15
2022-08-11,13
2022-08-12,13
2022-08-13,11
2022-08-14,12
2022-08-15,13
2022-08-16,13
2022-08-17,16
2022-08-18,16
2022-08-19,18
2022-08-20,16
2022-08-21,18
2022-08-22,19
2022-08-23,14
2022-08-24,13
2022-08-25,14
2022-08-26,15
2022-08-27,11
2022-08-28,14
2022-08-29,20
2022-08-30,18
2022-08-31,12
2022-09-01,13
2022-09-02,15
2022-09-03,15
2022-09-04,16
2022-09-05,14
2022-09-06,15
2022-09-07,13
2022-09-08,14
2022-09-09,15
2022-09-10,15
2022-09-11,15
2022-09-12,15
2022-09-13,12
2022-09-14,10
2022-09-15,11
2022-09-16,12
2022-09-17,11
2022-09-18,13
2022-09-19,17
2022-09-20,15
2022-09-21,16
2022-09-22,21
2022-09-23,29
2022-09-24,33
2022-09-25,43
2022-09-26,70
2022-09-27,100
