Time,amc
2022-01-01,40
2022-01-02,36
2022-01-03,30
2022-01-04,30
2022-01-05,24
2022-01-06,21
2022-01-07,33
2022-01-08,36
2022-01-09,29
2022-01-10,20
2022-01-11,20
2022-01-12,20
2022-01-13,25
2022-01-14,27
2022-01-15,34
2022-01-16,28
2022-01-17,23
2022-01-18,24
2022-01-19,19
2022-01-20,20
2022-01-21,26
2022-01-22,32
2022-01-23,23
2022-01-24,29
2022-01-25,19
2022-01-26,18
2022-01-27,17
2022-01-28,25
2022-01-29,27
2022-01-30,21
2022-01-31,17
2022-02-01,21
2022-02-02,19
2022-02-03,18
2022-02-04,26
2022-02-05,32
2022-02-06,26
2022-02-07,19
2022-02-08,25
2022-02-09,23
2022-02-10,21
2022-02-11,30
2022-02-12,33
2022-02-13,22
2022-02-14,28
2022-02-15,28
2022-02-16,24
2022-02-17,25
2022-02-18,33
2022-02-19,40
2022-02-20,35
2022-02-21,28
2022-02-22,27
2022-02-23,23
2022-02-24,23
2022-02-25,28
2022-02-26,34
2022-02-27,29
2022-02-28,25
2022-03-01,29
2022-03-02,29
2022-03-03,30
2022-03-04,42
2022-03-05,51
2022-03-06,44
2022-03-07,31
2022-03-08,31
2022-03-09,26
2022-03-10,27
2022-03-11,34
2022-03-12,44
2022-03-13,38
2022-03-14,27
2022-03-15,29
2022-03-16,24
2022-03-17,27
2022-03-18,33
2022-03-19,40
2022-03-20,32
2022-03-21,23
2022-03-22,28
2022-03-23,31
2022-03-24,28
2022-03-25,31
2022-03-26,36
2022-03-27,31
2022-03-28,33
2022-03-29,38
2022-03-30,31
2022-03-31,27
2022-04-01,34
2022-04-02,34
2022-04-03,30
2022-04-04,24
2022-04-05,24
2022-04-06,32
2022-04-07,26
2022-04-08,34
2022-04-09,42
2022-04-10,35
2022-04-11,26
2022-04-12,25
2022-04-13,26
2022-04-14,27
2022-04-15,33
2022-04-16,35
2022-04-17,33
2022-04-18,29
2022-04-19,31
2022-04-20,23
2022-04-21,22
2022-04-22,29
2022-04-23,36
2022-04-24,31
2022-04-25,22
2022-04-26,22
2022-04-27,19
2022-04-28,21
2022-04-29,24
2022-04-30,32
2022-05-01,28
2022-05-02,23
2022-05-03,25
2022-05-04,24
2022-05-05,30
2022-05-06,45
2022-05-07,52
2022-05-08,42
2022-05-09,29
2022-05-10,28
2022-05-11,25
2022-05-12,28
2022-05-13,32
2022-05-14,36
2022-05-15,32
2022-05-16,21
2022-05-17,24
2022-05-18,23
2022-05-19,24
2022-05-20,29
2022-05-21,34
2022-05-22,29
2022-05-23,23
2022-05-24,27
2022-05-25,26
2022-05-26,30
2022-05-27,44
2022-05-28,47
2022-05-29,47
2022-05-30,42
2022-05-31,37
2022-06-01,31
2022-06-02,31
2022-06-03,38
2022-06-04,40
2022-06-05,38
2022-06-06,31
2022-06-07,34
2022-06-08,33
2022-06-09,35
2022-06-10,49
2022-06-11,58
2022-06-12,56
2022-06-13,37
2022-06-14,36
2022-06-15,33
2022-06-16,32
2022-06-17,41
2022-06-18,47
2022-06-19,48
2022-06-20,33
2022-06-21,33
2022-06-22,31
2022-06-23,29
2022-06-24,41
2022-06-25,47
2022-06-26,44
2022-06-27,38
2022-06-28,37
2022-06-29,36
2022-06-30,37
2022-07-01,52
2022-07-02,59
2022-07-03,48
2022-07-04,44
2022-07-05,41
2022-07-06,38
2022-07-07,48
2022-07-08,58
2022-07-09,62
2022-07-10,53
2022-07-11,37
2022-07-12,42
2022-07-13,33
2022-07-14,31
2022-07-15,39
2022-07-16,45
2022-07-17,41
2022-07-18,34
2022-07-19,38
2022-07-20,32
2022-07-21,32
2022-07-22,39
2022-07-23,42
2022-07-24,38
2022-07-25,34
2022-07-26,34
2022-07-27,28
2022-07-28,28
2022-07-29,34
2022-07-30,36
2022-07-31,33
2022-08-01,27
2022-08-02,31
2022-08-03,28
2022-08-04,35
2022-08-05,40
2022-08-06,39
2022-08-07,35
2022-08-08,37
2022-08-09,37
2022-08-10,29
2022-08-11,30
2022-08-12,35
2022-08-13,32
2022-08-14,29
2022-08-15,29
2022-08-16,36
2022-08-17,28
2022-08-18,28
2022-08-19,38
2022-08-20,40
2022-08-21,32
2022-08-22,37
2022-08-23,32
2022-08-24,25
2022-08-25,23
2022-08-26,27
2022-08-27,30
2022-08-28,26
2022-08-29,28
2022-08-30,29
2022-08-31,28
2022-09-01,30
2022-09-02,42
2022-09-03,100
2022-09-04,48
2022-09-05,30
2022-09-06,20
2022-09-07,18
2022-09-08,16
2022-09-09,23
2022-09-10,29
2022-09-11,22
2022-09-12,18
2022-09-13,19
2022-09-14,18
2022-09-15,18
2022-09-16,24
2022-09-17,30
2022-09-18,24
2022-09-19,18
2022-09-20,19
2022-09-21,17
2022-09-22,19
2022-09-23,26
2022-09-24,33
2022-09-25,28
2022-09-26,22
2022-09-27,22
